song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
A Design for Life - Remastered,Manic Street Preachers,0uJyE3M3ecGZgzltsQKs3a,52,0.184,0.841,0.0,-4.723,1.0,0.0468,0.000811,4.47e-05,0.0422,0.349,88.224,audio_features,0uJyE3M3ecGZgzltsQKs3a,spotify:track:0uJyE3M3ecGZgzltsQKs3a,https://api.spotify.com/v1/tracks/0uJyE3M3ecGZgzltsQKs3a,https://api.spotify.com/v1/audio-analysis/0uJyE3M3ecGZgzltsQKs3a,257640.0,4.0
Nature Boy,Nat King Cole,2WMyu5IYgxEuCd6xgFgJrl,58,0.275,0.0895,2.0,-19.755,0.0,0.0374,0.971,0.0221,0.108,0.111,104.144,audio_features,2WMyu5IYgxEuCd6xgFgJrl,spotify:track:2WMyu5IYgxEuCd6xgFgJrl,https://api.spotify.com/v1/tracks/2WMyu5IYgxEuCd6xgFgJrl,https://api.spotify.com/v1/audio-analysis/2WMyu5IYgxEuCd6xgFgJrl,173533.0,4.0
Bohemian Rhapsody - Remastered 2011,Queen,1AhDOtG9vPSOmsWgNW0BEY,0,0.414,0.404,0.0,-9.928,0.0,0.0499,0.271,0.0,0.3,0.224,71.105,audio_features,1AhDOtG9vPSOmsWgNW0BEY,spotify:track:1AhDOtG9vPSOmsWgNW0BEY,https://api.spotify.com/v1/tracks/1AhDOtG9vPSOmsWgNW0BEY,https://api.spotify.com/v1/audio-analysis/1AhDOtG9vPSOmsWgNW0BEY,354320.0,4.0
Tainted Love,Soft Cell,3HnqpxXpizCRADKCU78cLk,0,0.518,0.51,0.0,-8.057,0.0,0.0352,0.476,0.0,0.292,0.651,144.543,audio_features,3HnqpxXpizCRADKCU78cLk,spotify:track:3HnqpxXpizCRADKCU78cLk,https://api.spotify.com/v1/tracks/3HnqpxXpizCRADKCU78cLk,https://api.spotify.com/v1/audio-analysis/3HnqpxXpizCRADKCU78cLk,153880.0,4.0
Ode To Billie Joe,Bobbie Gentry,3ZsLNrysR0UFbjcaIEcDTj,10,0.595,0.182,7.0,-11.078,1.0,0.0517,0.786,0.0,0.0847,0.642,117.352,audio_features,3ZsLNrysR0UFbjcaIEcDTj,spotify:track:3ZsLNrysR0UFbjcaIEcDTj,https://api.spotify.com/v1/tracks/3ZsLNrysR0UFbjcaIEcDTj,https://api.spotify.com/v1/audio-analysis/3ZsLNrysR0UFbjcaIEcDTj,254600.0,4.0
Hoppípolla,Sigur Rós,6eTGxxQxiTFE6LfZHC33Wm,54,0.314,0.684,11.0,-6.447,1.0,0.0327,0.0302,0.22,0.219,0.175,139.872,audio_features,6eTGxxQxiTFE6LfZHC33Wm,spotify:track:6eTGxxQxiTFE6LfZHC33Wm,https://api.spotify.com/v1/tracks/6eTGxxQxiTFE6LfZHC33Wm,https://api.spotify.com/v1/audio-analysis/6eTGxxQxiTFE6LfZHC33Wm,268707.0,4.0
Play Dead,Björk,1ZZwvHCdAQ85yBJWabts7E,0,0.504,0.488,10.0,-12.179,0.0,0.0283,0.000279,0.144,0.121,0.358,77.336,audio_features,1ZZwvHCdAQ85yBJWabts7E,spotify:track:1ZZwvHCdAQ85yBJWabts7E,https://api.spotify.com/v1/tracks/1ZZwvHCdAQ85yBJWabts7E,https://api.spotify.com/v1/audio-analysis/1ZZwvHCdAQ85yBJWabts7E,236707.0,4.0
Temple of Love - Extended Version 1983,Sisters of Mercy,0cddvowG9DCT9VeZxRlPJm,0,0.451,0.931,9.0,-7.442,1.0,0.0413,0.0776,0.208,0.164,0.652,166.301,audio_features,0cddvowG9DCT9VeZxRlPJm,spotify:track:0cddvowG9DCT9VeZxRlPJm,https://api.spotify.com/v1/tracks/0cddvowG9DCT9VeZxRlPJm,https://api.spotify.com/v1/audio-analysis/0cddvowG9DCT9VeZxRlPJm,488012.0,4.0
Life on Mars? - 2015 Remaster,David Bowie,3ZE3wv8V3w2T2f7nOCjV0N,69,0.445,0.384,10.0,-14.642,1.0,0.0417,0.635,7.74e-05,0.0539,0.216,123.295,audio_features,3ZE3wv8V3w2T2f7nOCjV0N,spotify:track:3ZE3wv8V3w2T2f7nOCjV0N,https://api.spotify.com/v1/tracks/3ZE3wv8V3w2T2f7nOCjV0N,https://api.spotify.com/v1/audio-analysis/3ZE3wv8V3w2T2f7nOCjV0N,235987.0,4.0
Cornflake Girl,Tori Amos,1300POeOaj8qho30FRHjgf,60,0.631,0.638,7.0,-8.958,1.0,0.0274,0.4,0.000516,0.216,0.812,133.739,audio_features,1300POeOaj8qho30FRHjgf,spotify:track:1300POeOaj8qho30FRHjgf,https://api.spotify.com/v1/tracks/1300POeOaj8qho30FRHjgf,https://api.spotify.com/v1/audio-analysis/1300POeOaj8qho30FRHjgf,305493.0,4.0
"River Deep, Mountain High",Ike & Tina Turner,3wMqRnny1MIRLuv3tjUJO6,35,0.666,0.569,8.0,-13.856,1.0,0.116,0.154,2.43e-05,0.386,0.742,88.134,audio_features,3wMqRnny1MIRLuv3tjUJO6,spotify:track:3wMqRnny1MIRLuv3tjUJO6,https://api.spotify.com/v1/tracks/3wMqRnny1MIRLuv3tjUJO6,https://api.spotify.com/v1/audio-analysis/3wMqRnny1MIRLuv3tjUJO6,207200.0,4.0
